Date,Hour,Value_real,Value_comercial,diferencia,porcentaje_diferencia
2024-04-30,2,7960142.74,8072548.61,-112405.87000000011,-1.3924458734228682
2024-04-30,3,7795368.38,7907747.18,-112378.79999999981,-1.4211228235043272
2024-04-30,4,7698851.13,7810048.02,-111196.88999999966,-1.4237670461851997
2024-04-30,5,7877300.7299999995,7971088.05,-93787.3200000003,-1.176593702286356
2024-04-30,6,8227772.74,8323477.64,-95704.89999999944,-1.149818671225498
2024-04-30,7,8396661.24,8504266.51,-107605.26999999955,-1.2653092406437243
2024-04-30,8,8864931.97,8973752.21,-108820.24000000022,-1.2126503769374775
2024-04-30,9,9300389.43,9397498.22,-97108.79000000097,-1.0333472561168622
2024-04-30,10,9596179.66,9726111.36,-129931.69999999925,-1.3359059462794314
2024-04-30,11,9985975.55,10529865.29,-543889.7399999984,-5.165210807744327
2024-04-30,12,10277970.459999999,10803828.37,-525857.9100000001,-4.867329357621036
2024-04-30,13,10239170.82,10777075.18,-537904.3599999994,-4.991190569016698
2024-04-30,14,10369839.42,10961999.92,-592160.5,-5.401938554292564
2024-04-30,15,10566103.17,11161301.7,-595198.5299999993,-5.332698156524156
2024-04-30,16,10440197.42,11045595.58,-605398.1600000001,-5.4809010126731454
2024-04-30,17,10324788.65,10934418.58,-609629.9299999997,-5.5753300967923956
2024-04-30,18,10030978.08,10629771.16,-598793.0800000001,-5.633169999494139
2024-04-30,19,10421173.33,10978013.44,-556840.1099999994,-5.072321263253977
2024-04-30,20,10510133.12,11071133.94,-561000.8200000003,-5.067239029356376
2024-04-30,21,10315729.1,10862661.4,-546932.3000000007,-5.034975130496112
2024-04-30,22,9871463.209999999,10444038.22,-572575.0100000016,-5.482314387777121
2024-04-30,23,9282204.36,9620134.47,-337930.11000000127,-3.5127379045877434
2024-04-30,24,8736272.15,9001628.16,-265356.0099999998,-2.9478668223505
